Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Aruba;ABW;;;;;1330167598;1320670391;1379888268;1531843575;1665363128;1722798883;1873452514;1920262570;1941094972;2021301676;2228279330;2331005587;2421474860;2623726257;2791960894;2498932961;2467703911;2584463687;;;;;
Afghanistan;AFG;;;;;;;;;;;;2461665938;4128820723;4583644246;5285465686;6275073572;7057598407;9843842455;10190529882;12486943506;15936800636;17930239400;20536542737;20046334304;20050189882;19215562179;19469022208
Angola;AGO;10026737968;12118610904;5684291719;5278182971;4059352153;5039552482;7526446606;7648377413;6445041825;6152922943;9129594819;8936063723;12497346670;14188949191;19640848729;28233712831;41789478661;60448921272;84178032716;75492384801;82470913121;1,04116E+11;1,15398E+11;1,24912E+11;1,26777E+11;1,02962E+11;95335111741
Albania;ALB;2101624963;1139166646;709452584;1228071038;1985673798;2424499009;3314898292;2359903108;2707123772;3414760915;3632043908;4060758804;4435078648;5746945913;7314865176;8158548717;8992642349;10701011897;12881352688;12044212904;11926953259;12890867539;12319784787;12776277515;13228244357;11335264967;11863865978
Andorra;AND;1029048482;1106928583;1210013652;1007025755;1017549124;1178738991;1223945357;1180597273;1211932398;1239876305;1434429703;1496912752;1733116883;2398645598;2935659300;3255789081;3543256806;4016972351;4007353157;3660530703;3355695364;3442062830;3164615187;3281585236;3350736367;2811489409;2858517699
Arab World;ARB;4,46877E+11;4,39779E+11;4,71164E+11;4,76514E+11;4,87527E+11;5,2376E+11;5,78231E+11;6,13279E+11;5,91526E+11;6,4389E+11;7,35025E+11;7,23283E+11;7,29052E+11;8,23111E+11;9,63862E+11;1,18466E+12;1,40411E+12;1,63757E+12;2,07812E+12;1,79582E+12;2,10965E+12;2,50155E+12;2,74124E+12;2,83963E+12;2,90662E+12;2,5633E+12;2,5047E+12
United Arab Emirates;ARE;50701443748;51552165622;54239171888;55625170253;59305093980;65743666576;73571233996;78839008445;75674336283;84445473111;1,04337E+11;1,03312E+11;1,09816E+11;1,24346E+11;1,47824E+11;1,80617E+11;2,22117E+11;2,57916E+11;3,15475E+11;2,53547E+11;2,8988E+11;3,50908E+11;3,74818E+11;3,90427E+11;4,03198E+11;3,57949E+11;3,48743E+11
Argentina;ARG;1,41352E+11;1,8972E+11;2,28789E+11;2,36742E+11;2,5744E+11;2,58032E+11;2,7215E+11;2,92859E+11;2,98948E+11;2,83523E+11;2,84204E+11;2,68697E+11;97724004252;1,27587E+11;1,64658E+11;1,98737E+11;2,32557E+11;2,87531E+11;3,61558E+11;3,32976E+11;4,23627E+11;5,30163E+11;5,45982E+11;5,52025E+11;5,2632E+11;5,84711E+11;5,45476E+11
Armenia;ARM;2256838858;2068526522;1272577456;1201313201;1315158670;1468317350;1596968913;1639492424;1893726437;1845482181;1911563665;2118467913;2376335048;2807061009;3576615240;4900469950;6384451606;9206301700;11662040714;8647936748;9260284938;10142111334;10619320049;11121465767;11609512940;10553337673;10572298342
American Samoa;ASM;;;;;;;;;;;;;514000000;527000000;512000000;503000000;496000000;520000000;563000000;678000000;576000000;574000000;644000000;641000000;643000000;659000000;658000000
